altezza; peso; sesso; età; sport; occupazione; esperienza_web; esperienza_cucina; obiettivo; opinione_stile_di_vita; importanza_stile_di_vita; query1; nomericettasinistra1; nomericettadestra1; ordinamentosinistra1; ordinamentodestra1; preferenza1; saporito1; sano1; perd/prend_peso1; facile1; etichette_mostrate1; query2; nomericettasinistra2; nomericettadestra2; ordinamentosinistra2; ordinamentodestra2; preferenza2; saporito2; sano2; perd/prend_peso2; facile2; etichette_mostrate2; query3; nomericettasinistra3; nomericettadestra3; ordinamentosinistra3; ordinamentodestra3; preferenza3; saporito3; sano3; perd/prend_peso3; facile3; etichette_mostrate3; numero_associato
170;53;Male;20-25;4-5 times at week;Alunno;daily;3;gain weight;Molto importante;Abbastanza sano;chicken;Kickin' Chicken;Fried Chicken;proteine;anti-calorie;Right side recipe;3;4;4;2;0;rice;Cilantro Shrimp with Squash, Chard, and Wild Rice;Salmon Rice Fritters;nutriscore;anti-calorie;Right side recipe;5;3;3;1;0;lemon;Lemon Glaze for Glazed Lemon Pound Cake;Triple Layer Lemon Cake;proteine;anti-calorie;Left side recipe;4;2;4;4;1;2358860
175;70;Male;41-59;2-3 times at week;Private company staff;daily;4;lose weight;Important;Quite healty;prosciutto;Pear Wedges with Prosciutto and Mint;Prosciutto-wrapped Mozzarella;proteine;anti-calorie;Left side recipe;4;4;3;4;1;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Left side recipe;2;5;4;3;1;tiramisu;Amaretto Tiramisu for Two;Tiramisu;calorie;anti-calorie;Left side recipe;4;1;4;4;1;8834950
152;48;Female;41-59;2-3 times at week;Public company staff;daily;5;lose weight;Very important;Quite healty;polpo;POLPO AL PINOT NERO con patate e salsa all;POLPO AL PINOT NERO con patate e salsa all;etichette;anti-calorie;Left side recipe;4;3;4;3;1;polpette;Polpette Di Melanzane With Sugo Di Pomodoro;Polpette Di Melanzane With Sugo Di Pomodoro;proteine;anti-calorie;None of these two;3;4;2;4;1;cake;Cinnamon-Strawberry Cake recipes;Cake Doughnuts recipes;nutriscore;anti-calorie;Right side recipe;4;3;4;2;1;4644392
176;76;Male;20-25;4-5 times at week;Student;rarely;2;lose weight;Important;Healty;fish;Snapper with Fennel, Onion and Tomato;Smoked Fish with Mustard, Dill and Caper Sauce;etichette;anti-calorie;Left side recipe;5;4;2;2;0;spaghetti;Syrian Candied Gourd for Rosh Hashanah recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Left side recipe;3;5;5;5;1;cioccolato;Arance candite con cioccolato (chocolate d;Crostata di castagne, cioccolato e pere (c;nutriscore;anti-calorie;Left side recipe;3;5;5;5;0;8700009
172;68;Male;20-25; 1 time at week;Student;rarely;1;No goals;Very important;Quite healty;Fish;Snapper with Fennel, Onion and Tomato;Smoked Fish with Mustard, Dill and Caper Sauce;etichette;anti-calorie;Right side recipe;5;2;1;1;1;Beef;Tamarind Beef & Kohlrabi Salad Recipe;Beef and Broccoli;etichette;anti-calorie;None of these two;3;3;3;3;0;Pasta;Raw Tomato Coulis Recipe;The Nasty Bits: How to Render Leaf Lard (with Welsh Griddle Cakes Recipe);calorie;anti-calorie;None of these two;3;3;3;3;0;6663570
178;57;Male;20-25; 1 time at week;studente;rarely;3;gain weight;molto importante;Cura;mozzarella-di-bufala;Bufala Mozzerella with Alici di Menaica;Caprese Con Mozzarella Di Bufala (Mozzarella, Tomato, Basil;proteine;anti-calorie;Ricetta sul lato destro;5;3;2;5;1;cozze;Cozze Ripiene {Stuffed Mussels} recipes;Steamed Mussels with Chicory: Cozze con Cicoria;calorie;anti-calorie;Left side recipe;4;1;1;2;0;carne;Corn Pie with Beef (Pastel de Choclo con Carne) recipes;Chipotle Trail Mix;etichette;anti-calorie;Nessuno di questi due;1;1;1;1;1;2422923
180;64;Male;20-25;2-3 times at week;Student;rarely;2;gain weight;Very important;Not healthy;chicken;Chicken Saltimbocca;Fried Chicken;etichette;anti-calorie;Left side recipe;4;5;5;1;0;lemon;Sesame And Lemon Broccoli;Crab Crostini with Lemon and Herbs;nutriscore;anti-calorie;Right side recipe;5;3;3;1;1;milk;Homemade Coconut Milk;Milk Bar Banana Cake;proteine;anti-calorie;Right side recipe;5;3;3;1;1;9279555
164;60;Female;41-59;2-3 times at week;Public company staff;rarely;2;lose weight;Very important;Healty;chicken;Mexicali Chicken;Fried Chicken;nutriscore;anti-calorie;Left side recipe;4;4;4;4;1;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Left side recipe;3;5;3;4;0;ice-cream;Green Tea-Ginger Ice Cream;Mile-High Ice Cream Cake;etichette;anti-calorie;Left side recipe;4;5;3;5;0;3160483
169;56;Female;16-19;0;Student;monthly;3;lose weight;Important;Not healthy;Ham;Asparagus Wrapped in Serrano Ham recipes;Garlicky Ham and Swiss;etichette;anti-calorie;Left side recipe;5;2;2;3;1;Pizza;Grilled Green Onions with Picholine Olives, Lemon and Thyme;Stuffed Crust Cast-Iron Pizza with Smoked Mozzarella;nutriscore;anti-calorie;Right side recipe;4;1;1;3;1;Gelato;Strawberry Gelato recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;proteine;anti-calorie;None of these two;1;1;1;1;1;2155004
178;64;Female;16-19;0;Student;daily;2;lose weight;Important;Quite healty;meat;Healthy turkey chili;Southern Foodways' Mississippi Delta Hot Tamales;etichette;anti-calorie;Right side recipe;4;3;3;5;1;pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Left side recipe;3;4;3;4;1;gelato;Strawberry Gelato recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;calorie;anti-calorie;Left side recipe;5;4;4;4;1;2960231
